Date,Region,Type,Value
2020-04-23,Allover Bangladesh,Confirmed Cases,414.0
2020-04-24,Allover Bangladesh,Confirmed Cases,503.0
2020-04-25,Allover Bangladesh,Confirmed Cases,309.0
2020-04-26,Allover Bangladesh,Confirmed Cases,418.0
2020-04-27,Allover Bangladesh,Confirmed Cases,497.0
2020-04-28,Allover Bangladesh,Confirmed Cases,549.0
2020-04-29,Allover Bangladesh,Confirmed Cases,641.0
2020-04-30,Allover Bangladesh,Confirmed Cases,564.0
2020-05-01,Allover Bangladesh,Confirmed Cases,571.0
2020-05-02,Allover Bangladesh,Confirmed Cases,552.0
2020-05-03,Allover Bangladesh,Confirmed Cases,665.0
2020-05-04,Allover Bangladesh,Confirmed Cases,688.0
2020-05-05,Allover Bangladesh,Confirmed Cases,786.0
2020-05-06,Allover Bangladesh,Confirmed Cases,790.0
2020-05-07,Allover Bangladesh,Confirmed Cases,706.0
2020-05-08,Allover Bangladesh,Confirmed Cases,709.0
2020-05-09,Allover Bangladesh,Confirmed Cases,636.0
2020-05-10,Allover Bangladesh,Confirmed Cases,887.0
2020-05-11,Allover Bangladesh,Confirmed Cases,1034.0
2020-05-12,Allover Bangladesh,Confirmed Cases,969.0
2020-05-13,Allover Bangladesh,Confirmed Cases,1162.0
2020-05-14,Allover Bangladesh,Confirmed Cases,1041.0
2020-05-15,Allover Bangladesh,Confirmed Cases,1202.0
2020-05-16,Allover Bangladesh,Confirmed Cases,930.0
2020-05-17,Allover Bangladesh,Confirmed Cases,1273.0
2020-05-18,Allover Bangladesh,Confirmed Cases,1602.0
2020-05-19,Allover Bangladesh,Confirmed Cases,1251.0
2020-05-20,Allover Bangladesh,Confirmed Cases,1617.0
2020-05-21,Allover Bangladesh,Confirmed Cases,1773.0
2020-05-22,Allover Bangladesh,Confirmed Cases,1694.0
2020-05-23,Allover Bangladesh,Confirmed Cases,1873.0
2020-05-24,Allover Bangladesh,Confirmed Cases,1532.0
2020-05-25,Allover Bangladesh,Confirmed Cases,1975.0
2020-05-26,Allover Bangladesh,Confirmed Cases,1166.0
2020-05-27,Allover Bangladesh,Confirmed Cases,1541.0
2020-05-28,Allover Bangladesh,Confirmed Cases,2029.0
2020-05-29,Allover Bangladesh,Confirmed Cases,2523.0
2020-05-30,Allover Bangladesh,Confirmed Cases,1764.0
2020-05-31,Allover Bangladesh,Confirmed Cases,2545.0
2020-06-01,Allover Bangladesh,Confirmed Cases,2381.0
2020-06-02,Allover Bangladesh,Confirmed Cases,2911.0
2020-06-03,Allover Bangladesh,Confirmed Cases,2695.0
2020-06-04,Allover Bangladesh,Confirmed Cases,2423.0
2020-06-05,Allover Bangladesh,Confirmed Cases,2828.0
2020-06-06,Allover Bangladesh,Confirmed Cases,2635.0
2020-06-07,Allover Bangladesh,Confirmed Cases,2743.0
2020-06-08,Allover Bangladesh,Confirmed Cases,2735.0
2020-06-09,Allover Bangladesh,Confirmed Cases,3171.0
2020-06-10,Allover Bangladesh,Confirmed Cases,3190.0
2020-06-11,Allover Bangladesh,Confirmed Cases,3187.0
2020-06-12,Allover Bangladesh,Confirmed Cases,3471.0
2020-06-13,Allover Bangladesh,Confirmed Cases,2856.0
2020-06-14,Allover Bangladesh,Confirmed Cases,3141.0
2020-06-15,Allover Bangladesh,Confirmed Cases,3099.0
2020-06-16,Allover Bangladesh,Confirmed Cases,3862.0
2020-06-17,Allover Bangladesh,Confirmed Cases,4008.0
2020-06-18,Allover Bangladesh,Confirmed Cases,3803.0
2020-06-19,Allover Bangladesh,Confirmed Cases,3243.0
2020-06-20,Allover Bangladesh,Confirmed Cases,3240.0
2020-06-21,Allover Bangladesh,Confirmed Cases,3531.0
2020-06-22,Allover Bangladesh,Confirmed Cases,3480.0
2020-06-23,Allover Bangladesh,Confirmed Cases,3412.0
2020-06-24,Allover Bangladesh,Confirmed Cases,3462.0
2020-06-25,Allover Bangladesh,Confirmed Cases,3946.0
2020-06-26,Allover Bangladesh,Confirmed Cases,3868.0
2020-06-27,Allover Bangladesh,Confirmed Cases,3504.0
2020-06-28,Allover Bangladesh,Confirmed Cases,3809.0
2020-06-29,Allover Bangladesh,Confirmed Cases,4014.0
2020-06-30,Allover Bangladesh,Confirmed Cases,3682.0
2020-07-01,Allover Bangladesh,Confirmed Cases,3775.0
2020-07-02,Allover Bangladesh,Confirmed Cases,4019.0
2020-07-03,Allover Bangladesh,Confirmed Cases,3114.0
